School ID,NAME_OF_SCHOOL,HEALTHY_SCHOOL_CERTIFIED,SAFETY_SCORE,COLLEGE_ENROLLMENT,COMMUNITY_AREA_NUMBER,COMMUNITY_AREA_NAME
610108,Luke O'Toole Elementary School,No,5,511,67,WEST ENGLEWOOD
609818,Luther Burbank Elementary School,No,37,1139,19,BELMONT CRAGIN
609817,Lyman A Budlong Elementary School,No,59,864,4,LINCOLN SQUARE
610205,Lyman Trumbull Elementary School,No,56,438,77,EDGEWATER
610369,Mahalia Jackson Elementary School,No,38,323,71,AUBURN GRESHAM
610197,Mancel Talcott Elementary School,No,63,580,24,WEST TOWN
609722,Manley Career Academy High School,No,41,599,27,EAST GARFIELD PARK
609872,Manuel Perez Elementary School,Yes,45,426,31,LOWER WEST SIDE
610128,Marcus Moziah Garvey Elementary School,No,50,356,73,WASHINGTON HEIGHTS
610544,Mariano Azuela Elementary School,No,54,873,65,WEST LAWN
610017,Maria Saucedo Elementary Scholastic Academy,No,60,1306,30,SOUTH LAWNDALE
609756,Marie Sklodowska Curie Metropolitan High School,No,43,3320,57,ARCHER HEIGHTS
610502,Marine Military Math and Science Academy ,No,41,366,28,NEAR WEST SIDE
610081,Mark Sheridan Elementary Math & Science Academy,No,74,535,60,BRIDGEPORT
610177,Mark Skinner Elementary School,No,87,784,28,NEAR WEST SIDE
610206,Mark Twain Elementary School,No,67,1161,56,GARFIELD RIDGE
610053,Marquette Elementary School,No,15,1390,66,CHICAGO LAWN
610152,Martha Ruggles Elementary School,No,43,417,69,GREATER GRAND CROSSING
610154,Martin A Ryerson Elementary School,No,40,445,23,HUMBOLDT PARK
610539,Marvin Camras Elementary School,No,54,826,19,BELMONT CRAGIN
610355,Mary E Courtenay Elementary Language Arts Center,No,99,257,6,LAKE VIEW
610312,Mary E McDowell Elementary School,No,,188,48,CALUMET HEIGHTS
610127,Mary Gage Peterson Elementary School,No,62,860,13,NORTH PARK
610046,Mary Lyon Elementary School,No,55,1423,19,BELMONT CRAGIN
609888,Mary Mapes Dodge Elementary Renaissance Academy,No,57,434,27,EAST GARFIELD PARK
610365,Mary McLeod Bethune Elementary School,No,53,362,27,EAST GARFIELD PARK
610535,Mason High School,No,50,48,29,NORTH LAWNDALE
